"DisplayName","DisplayVersion"
"Google Chrome","88.0.4324.182"
"PyCharm Community Edition 2020.3.3","203.7148.72"
"TeamViewer Host","15.14.5"
"WinSCP 5.17.10","5.17.10"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148"
"Teams Machine-Wide Installer","1.3.0.362"
"Office 16 Click-to-Run Extensibility Component","16.0.13628.20274"
"Office 16 Click-to-Run Localization Component","16.0.13628.20274"
"Adobe Refresh Manager","1.8.0"
"Adobe Acrobat Reader DC","21.001.20138"
"Python Launcher","3.9.7280.0"
